id,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
0,1815,8148411146,0,8507,,,2321,0,5,0.01,0.18,0,0,0,0,0
0,1815,8133011148,0,8507,,,468,0,20,0.13,1.48,0,0,0,0,0
0,1815,8154211173,0,8532,,,14,0,16,2.56,4.88,0,0,0,0,0
0,1815,8117311175,0,8532,,,1,2,2,2,,0,0,0,0,0
0,1815,8132611150,0,8507,,,20,0,106,8.45,24.82,0,0,0,0,0
0,1815,8116211179,0,8507,,,349,0,68,0.84,4.18,0,0,0,0,0
0,1815,8149611174,0,8507,,,1,32,32,32,,0,0,0,0,0
0,1815,8158311178,0,8507,,,650,0,44.72,0.32,2.46,0,0,0,0,0
0,1815,8147411157,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8159711209,0,8507,,,41542,0,3536029952,85902.24,17348908.43,0,0,0,0,0
0,1815,8129211155,0,8532,,,12,0,263,63,89.22,0,0,0,0,0
0,1815,8114411159,0,8532,,,19,0,2.3,0.52,0.86,0,0,0,0,0
0,1815,8153311163,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8147811168,0,8507,,,22,0,0,0,0,0,0,0,0,0
0,1815,8152911164,0,8532,,,231,0,8,0.13,0.74,0,0,0,0,0
0,1815,8140711164,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8147311171,0,8507,,,2,0,0,0,0,0,0,0,0,0
0,1815,8153611186,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8131811131,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8133011139,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8123811166,0,8532,,,15,0,2,0.2,0.56,0,0,0,0,0
0,1815,8143811176,0,8532,,,21,0,72,7.48,15.89,0,0,0,0,2
0,1815,8149711159,0,8507,,,3,0,0,0,0,0,0,0,0,0
0,1815,8135811156,0,8507,,,120,0,137,6.56,22.2,0,0,0,0,0
